species,decimalLatitude,decimalLongitude,eventDate,BSI,LST,MNDWI,NDBI,NDSI,NDVI,NDWI,SAVI,UI,winter_wheat_presence,Land_cover
Lepus europaeus,52.356445,-0.019119,2022-05-17,-0.620024551806356,295.35919010123735,-0.3742929063955746,-0.2763317234420057,-0.3742929063955746,0.6124726856860802,-0.5881762245139927,0.9186078350222644,0.2763317234420057,0,Arable
Lepus europaeus,55.23799,-3.652795,2023-06-15,-0.6276729851942757,298.841414078048,-0.5400709709430626,-0.0523102357045487,-0.5400709709430626,0.571640220460569,-0.5751363679274416,0.8573437089998409,0.0523102357045487,0,Coniferous woodland
Lepus europaeus,56.589183,-3.385631,2023-05-12,-0.7149654724603762,291.0940551181102,-0.4798938459074461,-0.2922096925005312,-0.4798938459074461,0.7191949234208316,-0.660382522539877,1.0786649290879904,0.2922096925005312,0,Improved grassland
Lepus europaeus,54.978368,-2.548368,2023-09-19,-0.8232954513621346,291.10424146981626,-0.5803032356573818,-0.3017163501264476,-0.5803032356573818,0.8368940330314383,-0.7498988715115678,1.2551888905312174,0.3017163501264476,0,Improved grassland
Lepus europaeus,51.114098,-1.787091,2022-05-13,-0.448768520370471,293.0559634733158,-0.2615579331294048,-0.3036458163243963,-0.2615579331294048,0.5290928248451691,-0.5059644745796262,0.7935539352010261,0.3036458163243963,0,Arable
Lepus europaeus,52.732054,-2.371661,2024-03-03,-0.0997811494187047,278.888937007874,0.0229737335699522,-0.2136952926965243,0.0229737335699522,0.2025664800081715,-0.1917161407514638,0.3038243137482076,0.2136952926965243,0,Arable
Lepus europaeus,53.271778,-1.776539,2023-04-04,-0.7499331503127247,283.1383047870005,-0.5265386200956281,-0.2702100556406787,-0.5265386200956281,0.74822303981982,-0.6812256792737152,1.122186546077316,0.2702100556406787,0,Improved grassland
Lepus europaeus,52.910552,-1.332306,2023-07-30,-0.6179050247356243,295.63633070866143,-0.4786308185225228,-0.1162290930263949,-0.4786308185225228,0.5778568232579783,-0.5496621053893656,0.8666690971120217,0.1162290930263949,0,Arable
Lepus europaeus,52.282568,-2.367886,2023-05-31,-0.8134977757013048,294.2944032189475,-0.5105790548897328,-0.4157675020887106,-0.5105790548897328,0.8596009983930021,-0.7629332188975833,1.289228720057913,0.4157675020887106,0,Coniferous woodland
Lepus europaeus,55.325571,-3.814065,2023-06-02,-0.8204885178826852,297.68992519685037,-0.5640642167564942,-0.3189324289404522,-0.5640642167564942,0.8357367723494392,-0.7460513344539197,1.2534784142490945,0.3189324289404522,0,Deciduous woodland
Lepus europaeus,52.078773,0.406394,2025-03-30,-0.646417565990408,289.1443756558722,-0.4736038181292483,-0.1822838006204932,-0.4736038181292483,0.6310274840744109,-0.6015298818872248,0.94641064451106,0.1822838006204932,0,Arable
Lepus europaeus,51.383846,-2.216933,2025-01-10,-0.7207957053893669,275.0733858267717,-0.5200136185693871,-0.2873654489800777,-0.5200136185693871,0.724330512229721,-0.7019050296096686,1.0863138494940214,0.2873654489800777,0,Improved grassland
Lepus europaeus,56.682207,-3.062574,2022-03-20,-0.5299033691178244,284.49771004585966,-0.4855635902257188,-0.0168702800639867,-0.4855635902257188,0.4398634469497728,-0.4943630761363335,0.6597076411720048,0.0168702800639867,0,Improved grassland
Lepus europaeus,50.929586,-0.934166,2022-10-31,-0.5005991856583132,285.105,-0.4866977355722428,0.0092837702034575,-0.4866977355722428,0.3732666371764501,-0.460392119797105,0.5598085075073835,-0.0092837702034575,0,Arable
Lepus europaeus,56.587263,-3.548394,2022-09-08,-0.3925108461076325,288.0912097351467,-0.1878002230181845,-0.2872162716172942,-0.1878002230181845,0.503746625082829,-0.4414563554944055,0.7554411294327535,0.2872162716172942,0,Improved grassland
Lepus europaeus,53.808368,-2.836695,2023-03-06,-0.7652773521617791,279.82980314960633,-0.5241257241262263,-0.3255778554974036,-0.5241257241262263,0.764386543780771,-0.7163946117664644,1.146430170217659,0.3255778554974036,0,Arable
Lepus europaeus,52.171495,0.265145,2024-06-06,-0.4188749766048869,294.2677294117647,-0.1459813952811913,-0.3579762571742247,-0.1459813952811913,0.5405721124619177,-0.4795381196455926,0.8106557596628282,0.3579762571742247,0,Arable
Lepus europaeus,52.102219,-2.512394,2023-07-01,-0.2240032292158879,293.9166666666667,-0.0707255455471912,-0.2336882096817415,-0.0707255455471912,0.3529834547061164,-0.298730568229091,0.5294436019439065,0.2336882096817415,0,Arable
Lepus europaeus,51.291484,-1.212635,2022-03-25,-0.3240176685063393,286.70921975662134,-0.2676783079655819,-0.0656787518758609,-0.2676783079655819,0.3132129100339407,-0.326468983631449,0.4697698738408272,0.0656787518758609,0,Arable
Lepus europaeus,51.473415,-1.641446,2022-02-16,-0.5366373935280377,280.7346850393701,-0.4567415740940313,-0.0595262224690751,-0.4567415740940313,0.4597635040690719,-0.5013593810008743,0.6895486323378625,0.0595262224690751,0,Arable
Lepus europaeus,51.024347,-2.072666,2022-07-02,-0.6872503567823645,299.14000000000004,-0.4792202942929706,-0.2522053336371142,-0.4792202942929706,0.6828315043713515,-0.6419026642068757,1.0241366910631815,0.2522053336371142,0,Improved grassland
Lepus europaeus,52.273136,-0.462551,2022-03-19,-0.7029862729809545,286.48850980392154,-0.5049583601067424,-0.2118202935951465,-0.5049583601067424,0.6715198476226653,-0.6448386739138725,1.0071317341628905,0.2118202935951465,0,Arable
Lepus europaeus,51.809286,0.392009,2023-04-25,-0.0377709410059914,286.59366007905135,0.0460272808405754,-0.1587824030803734,0.0460272808405754,0.1249933628615071,-0.112953394105978,0.1874821433958537,0.1587824030803734,0,Arable
Lepus europaeus,56.587263,-3.548394,2023-06-12,-0.81314782368583,295.3400656167979,-0.5328441011812228,-0.3476091557469339,-0.5328441011812228,0.8293940054964517,-0.7400463086003639,1.2439210640338338,0.3476091557469339,0,Improved grassland
Lepus europaeus,51.99938,-0.1806,2024-08-17,-0.2688262494294816,297.0868503937008,-0.234232883067831,-0.0474562227962724,-0.234232883067831,0.2451978819043176,-0.2768526396675227,0.3677666431487581,0.0474562227962724,0,Arable
Lepus europaeus,56.590891,-3.22285,2022-03-22,-0.5539927720502709,284.61788117394417,-0.350350165960933,-0.2763452505684485,-0.350350165960933,0.5948777548677792,-0.5713871175997882,0.8921757103665403,0.2763452505684485,0,Arable
Lepus europaeus,52.8173,-3.114298,2024-05-24,-0.7873113404532942,292.4148984749456,-0.4983088671566666,-0.3689530711393687,-0.4983088671566666,0.8200608463162827,-0.7248833173075224,1.2299700341173658,0.3689530711393687,0,Inland rock
Lepus europaeus,55.23799,-3.652795,2023-06-08,-0.6276729851942757,298.6043017194445,-0.5400709709430626,-0.0523102357045487,-0.5400709709430626,0.571640220460569,-0.5751363679274416,0.8573437089998409,0.0523102357045487,0,Coniferous woodland
Lepus europaeus,56.587263,-3.548394,2022-04-28,-0.695017818030616,287.7622922134733,-0.577128182558934,-0.1272798043965505,-0.577128182558934,0.6702578370766076,-0.6516347414685507,1.0052160304184417,0.1272798043965505,0,Improved grassland
Lepus europaeus,56.587263,-3.548394,2023-09-21,-0.8170670179334505,289.32797525309337,-0.5750794944310635,-0.3146811791963037,-0.5750794944310635,0.8265017043416811,-0.7520805941650798,1.239550519371475,0.3146811791963037,0,Improved grassland
Lepus europaeus,52.193038,-1.781981,2022-11-28,-0.5280287926648614,280.0427762788393,-0.4957318085313576,0.0282014572337127,-0.4957318085313576,0.4309510786304454,-0.4581605026261803,0.6462823311501048,-0.0282014572337127,0,Arable
Lepus europaeus,52.190484,-2.805979,2023-07-16,0.1450984586983872,295.00964566929133,0.2872030091209665,-0.2752029356925917,0.2872030091209665,0.0013776437568439,0.0129957086126743,0.0020664055874454,0.2752029356925917,0,Improved grassland
Lepus europaeus,55.148168,-3.649078,2023-09-26,-0.4865403044562011,286.98250393700795,-0.2628678425406127,-0.2846544143972714,-0.2628678425406127,0.5673240111644791,-0.4879123479089774,0.8509237983235264,0.2846544143972714,0,Improved grassland
Lepus europaeus,56.590891,-3.22285,2022-07-26,-0.7089724371410523,295.52284776902894,-0.391404343804353,-0.3740354182828656,-0.391404343804353,0.6996831534783873,-0.6634535058874054,1.0494060741137878,0.3740354182828656,0,Arable
Lepus europaeus,55.788281,-2.081301,2023-06-07,-0.8100143312412739,294.8432549019608,-0.4503753316564466,-0.4644540794069589,-0.4503753316564466,0.846131847537915,-0.7522660063277132,1.269065834247481,0.4644540794069589,0,Arable
Lepus europaeus,51.294109,-1.929676,2025-03-03,-0.5675585640741663,281.37535433070866,-0.5427389554731347,0.0210725053093463,-0.5427389554731347,0.451998619052502,-0.5264571337795405,0.6779202084361642,-0.0210725053093463,0,Calcareous grassland
Lepus europaeus,51.473415,-1.641446,2022-05-04,-0.6305421810857111,291.13188946552134,-0.3587612842725949,-0.4205387273267253,-0.3587612842725949,0.7104346074842101,-0.6669841387371799,1.0654980768791935,0.4205387273267253,0,Arable
Lepus europaeus,51.203669,-1.643543,2023-05-20,-0.7800283409480459,292.2296212121212,-0.4432379843246843,-0.4340773015448195,-0.4432379843246843,0.8285465855397871,-0.7299067759257041,1.2427093173774495,0.4340773015448195,0,Arable
Lepus europaeus,52.345147,0.567664,2023-03-12,-0.4684793961471331,281.078,-0.476268683734496,0.0323495259468592,-0.476268683734496,0.321935439621264,-0.442167596234658,0.4828110853951334,-0.0323495259468592,0,Arable
