species,decimalLatitude,decimalLongitude,eventDate,BSI,LST,MNDWI,NDBI,NDSI,NDVI,NDWI,SAVI,UI
Lepus europaeus,50.934427,-1.930218,2022-12-20,-0.7054176815991139,276.691031496063,-0.5030356512040662,-0.23081573139089132,-0.5030356512040662,0.7122540954809887,-0.6565437298265824,1.0682289485481082,0.23081573139089132
Lepus europaeus,56.054679,-2.884681,2023-04-05,0.6245054191935846,,0.815377117550668,-0.42157326494757486,0.815377117550668,-0.36922053416372136,0.6003067635205651,-0.5529166576405662,0.42157326494757486
Lepus europaeus,52.821389,-2.520816,2022-04-02,-0.5415060531956778,288.2768522291357,-0.38473919973092147,-0.2336657869600078,-0.38473919973092147,0.5585768191162555,-0.5514634167474673,0.8377464938067607,0.2336657869600078
Lepus europaeus,52.820645,-2.669199,2025-03-16,-0.6382237235176517,282.0123076923077,-0.47336452254883843,-0.18642981904285724,-0.47336452254883843,0.6288267333332549,-0.6007557246498202,0.9431193387899841,0.18642981904285724
Lepus europaeus,56.140106,-3.369429,2023-04-11,-0.6503084395175417,286.76558449424596,-0.4715620087118643,-0.22411888935794863,-0.4715620087118643,0.6617920492750797,-0.6109245761087608,0.9925503991792792,0.22411888935794863
Lepus europaeus,51.383846,-2.216933,2022-09-05,-0.4887861906433113,297.1492913385827,-0.3025343157807415,-0.22597029995884876,-0.3025343157807415,0.5978580937302391,-0.4900334301490315,0.8965472997349969,0.22597029995884876
Lepus europaeus,57.307633,-3.412549,2025-03-09,-0.689866277263877,279.31858983536154,-0.6740986175185444,-0.021353736980182426,-0.6740986175185444,0.6006838382354336,-0.6799769338041813,0.9008378426582248,0.021353736980182426
Lepus europaeus,52.625981,-0.006968,2022-06-24,-0.6895430828290117,297.30361504811896,-0.5013937519493034,-0.24278629986161998,-0.5013937519493034,0.6365198694166595,-0.6376011656166667,0.9546751333268882,0.24278629986161998
Lepus europaeus,52.821948,-2.372428,2024-05-07,-0.06438959860489404,292.5496981627296,0.005538869174778409,-0.12953162846050684,0.005538869174778409,0.1425175269116828,-0.1219947619469788,0.21376001881370768,0.12953162846050684
Lepus europaeus,52.820664,-1.333684,2022-04-07,-0.6214512086690421,288.7251785714286,-0.45352396996491895,-0.2278675531790472,-0.45352396996491895,0.6270480253402668,-0.5899704122684079,0.9404473311253585,0.2278675531790472
Lepus europaeus,56.590891,-3.22285,2022-03-14,-0.6014622208942708,283.4298897637795,-0.45344030232178006,-0.20181493900421543,-0.45344030232178006,0.5427614629783105,-0.5881451675724769,0.813997402031041,0.20181493900421543
Lepus europaeus,56.589183,-3.385631,2022-07-13,-0.7830153814488833,294.99372703412075,-0.5027107846639786,-0.3800678608942236,-0.5027107846639786,0.8028121699061969,-0.7360324736591377,1.2040815403480603,0.3800678608942236
Lepus europaeus,52.273136,-0.462551,2023-05-29,-0.7827774441008905,293.9005769230769,-0.49491706327085444,-0.44003038967696095,-0.49491706327085444,0.8020772766440609,-0.7625612547065597,1.2029741972513388,0.44003038967696095
Lepus europaeus,51.909518,-0.184234,2022-03-19,-0.5164903414888208,289.103862745098,-0.44908306221513394,-0.048444687002078254,-0.44908306221513394,0.4813585787772389,-0.4786435200713353,0.7219127501540722,0.048444687002078254
Lepus europaeus,54.43979,-2.386963,2023-05-01,-0.1539773537190024,289.0539785651793,-0.14276925698898835,-0.03065696097725186,-0.14276925698898835,0.1706859266368046,-0.17272665767971687,0.2560062300587502,0.03065696097725186
Lepus europaeus,51.383501,-1.642149,2023-05-20,-0.8148474237162072,290.94472440944884,-0.4712545175192618,-0.4291320121979042,-0.4712545175192618,0.8587730170354374,-0.7462146338560056,1.2880249997499973,0.4291320121979042
Lepus europaeus,56.682207,-3.062574,2024-03-31,0.16509911412089762,282.9614116985377,0.3494037786433648,-0.342878735234837,0.3494037786433648,0.014896223467298643,0.007222901375036271,0.022342606571428888,0.342878735234837
Lepus europaeus,57.314876,-2.416682,2022-07-23,-0.5625613617357638,296.66432195975506,-0.42472516188936343,-0.1850662940826583,-0.42472516188936343,0.5340807731100607,-0.5571770769019715,0.8010402664912669,0.1850662940826583
Lepus europaeus,57.133694,-2.745056,2022-11-13,-0.7096346385658923,279.623,-0.564799996428168,-0.17428215378931486,-0.564799996428168,0.6864918713216385,-0.6633025292645378,1.02960581021789,0.17428215378931486
Lepus europaeus,53.900558,-2.38196,2024-04-25,-0.4930680163243848,286.6274128233971,-0.1446351251531252,-0.4424878942514294,-0.1446351251531252,0.6819179400957396,-0.5483337816285971,1.022558304507081,0.4424878942514294
Lepus europaeus,53.089388,-1.180226,2022-03-16,-0.6979584433767417,287.4331094991965,-0.5772203126242514,-0.14808295463347868,-0.5772203126242514,0.6696277228513425,-0.6663389835747049,1.004170973940619,0.14808295463347868
Lepus europaeus,53.810102,-2.532999,2022-03-27,-0.605142593124359,287.042712956335,-0.4913133647261615,-0.09723065370103527,-0.4913133647261615,0.5803559817304725,-0.5461353858791997,0.8703675410220773,0.09723065370103527
Lepus europaeus,51.563854,-2.073526,2024-01-17,-0.750472775320499,276.178,-0.5361847864877685,-0.2340326430278799,-0.5361847864877685,0.7173681160936932,-0.6785583533499823,1.075880297079982,0.2340326430278799
Lepus europaeus,56.40765,-3.54109,2022-07-25,-0.6205267794698255,297.3371456692914,-0.479082108915613,-0.181553561427663,-0.479082108915613,0.5970752657657383,-0.6013797431127127,0.8954983831512907,0.181553561427663
Lepus europaeus,55.235759,-3.809973,2024-04-12,-0.5456267043124094,286.11380392156866,-0.3339436823433587,-0.29244289851019,-0.3339436823433587,0.6051145676129237,-0.5410586120417613,0.9074328907497572,0.29244289851019
Lepus europaeus,51.203669,-1.643543,2022-06-13,-0.7127089351600092,297.17777777777775,-0.46741091157273473,-0.35769806948363025,-0.46741091157273473,0.7396997813693762,-0.7002425906267735,1.1094216722648635,0.35769806948363025
Lepus europaeus,52.084368,0.114768,2022-08-17,-0.3559777959850882,308.5875,-0.42131404949674434,0.1024746780263092,-0.42131404949674434,0.16903241837759547,-0.33112172083203195,0.25352302533074234,-0.1024746780263092
Lepus europaeus,56.141785,-3.20855,2022-06-20,-0.5660988220896179,292.0296437007874,-0.22178946816714906,-0.40142925275529723,-0.22178946816714906,0.6559196782476805,-0.5695847022483713,0.9837954170284559,0.40142925275529723
