species,decimalLatitude,decimalLongitude,eventDate,BSI,LST,MNDWI,NDBI,NDSI,NDVI,NDWI,SAVI,UI,hazel_presence,birch_presence,beech_presence,honeysuckle_presence,oak_presence,hawthorn_presence,Land_cover
Muscardinus avellanarius,52.722425,-3.556078,2023-06-21,-0.7249947787312913,297.05541666666664,-0.5592549582992086,-0.2154844055722169,-0.5592549582992086,0.7087402487000501,-0.6921421279031413,1.0629739698126404,0.2154844055722169,0,0,0,0,0,0,Bog
Muscardinus avellanarius,52.52,-2.7,2023-10-16,0.0918676666861364,283.82,0.1756811905297949,-0.1735560232233724,0.1756811905297949,0.0328741217964966,0.0022156217313487,0.0493093131829313,0.1735560232233724,0,0,0,0,0,0,Arable
Muscardinus avellanarius,52.59,-2.59,2023-11-07,-0.6665701155135261,281.9742637795275,-0.4985925898228179,-0.1533379374196466,-0.4985925898228179,0.6192111402842163,-0.6037849104596126,0.92861306980818,0.1533379374196466,0,0,0,0,0,0,Deciduous woodland
Muscardinus avellanarius,52.6,-2.91,2024-06-15,-0.8504640152983,290.9616010498688,-0.55462402766318,-0.4010677034650152,-0.55462402766318,0.8884694486014026,-0.7814122366825315,1.332548404266563,0.4010677034650152,0,0,0,0,0,0,Improved grassland
Muscardinus avellanarius,52.722425,-3.556078,2024-09-21,-0.2880921292194762,285.7565714285714,-0.1787780747833304,-0.1662705205036412,-0.1787780747833304,0.3683981477092351,-0.3312992751740261,0.5525004954522278,0.1662705205036412,0,0,0,0,0,0,Bog
Muscardinus avellanarius,51.02,-0.15,2022-09-14,-0.7112550774909512,289.0466666666667,-0.4540370232180176,-0.3212689035426908,-0.4540370232180176,0.7804844489141519,-0.6740355230527331,1.1705743165686378,0.3212689035426908,0,0,0,0,0,0,Deciduous woodland
Muscardinus avellanarius,51.26,-1.25,2023-04-23,0.1520453623091588,288.1300367454068,0.313472612778243,-0.3054791342356748,0.313472612778243,0.0075803977171397,0.0088046743406752,0.0113702891270762,0.3054791342356748,0,0,0,0,0,0,Arable
Muscardinus avellanarius,50.66,-1.4,2023-09-06,-0.6978877034012947,295.2507692307692,-0.4965042020902519,-0.2994779351573263,-0.4965042020902519,0.7658356121215496,-0.6923296318740918,1.1486094569629548,0.2994779351573263,0,0,0,0,0,0,Deciduous woodland
Muscardinus avellanarius,50.86,-0.18,2022-06-20,-0.6949688258546689,297.9318468146027,-0.4693306892439133,-0.2820808577976432,-0.4693306892439133,0.7046997713017046,-0.6502908617490232,1.0569278767673715,0.2820808577976432,0,0,0,0,0,0,Arable
Muscardinus avellanarius,50.94,-0.39,2022-07-15,-0.6763604549618301,302.7145282801188,-0.5357608241400872,-0.165755934287575,-0.5357608241400872,0.6519229487949452,-0.63132670398398,0.9777556034216452,0.165755934287575,0,0,0,0,0,0,Improved grassland
Muscardinus avellanarius,50.86,-0.18,2022-05-27,-0.5392537178421696,295.78019422572174,-0.3130292316340592,-0.2906726700681066,-0.3130292316340592,0.6081230096623461,-0.5477815548132685,0.912097337929859,0.2906726700681066,0,0,0,0,0,0,Arable
Muscardinus avellanarius,51.05,0.24,2023-01-09,-0.7373048048323331,277.27833070866143,-0.5300716862680667,-0.2657042343549871,-0.5300716862680667,0.7406910577365833,-0.7019291951882659,1.1108042716985842,0.2657042343549871,0,0,0,0,0,0,Improved grassland
Muscardinus avellanarius,52.28,-2.82,2024-10-21,-0.5653981741269392,284.24569553805776,-0.4594481661113409,-0.1222340609670789,-0.4594481661113409,0.5289679089082591,-0.5317297637182885,0.793338883033945,0.1222340609670789,0,0,0,0,0,0,Arable
Muscardinus avellanarius,50.93,-0.43,2022-10-03,-0.7980462963956201,289.1377777777778,-0.5421043515097173,-0.3114230825913431,-0.5421043515097173,0.8191025768915404,-0.7293474608721016,1.2284617386198458,0.3114230825913431,0,0,0,0,0,0,Improved grassland
Muscardinus avellanarius,52.54619,-3.254887,2023-10-15,-0.625088507618225,286.09137241985064,-0.3393285819443679,-0.3725168890111483,-0.3393285819443679,0.6935238096536318,-0.6159412284006484,1.0401401371884167,0.3725168890111483,0,0,0,0,0,0,Improved grassland
Muscardinus avellanarius,52.722425,-3.556078,2023-10-23,-0.7357900622605741,282.0685714285715,-0.4954492867428946,-0.3744350041688113,-0.4954492867428946,0.7384896625621648,-0.7345290294107141,1.1075544935927286,0.3744350041688113,0,0,0,0,0,0,Bog
